char,word,tier,rep,pg
minlyd,heard,1,0,853
minlyd,heard,2,0,1241
pat,deaf,1,0,823
pat,deaf,1,0,847
pat,deaf,1,0,1029
pat,deaf,1,0,1130
pat,deaf,1,0,30
pat,deaf,1,0,911
pat,deaf,1,0,1003
pat,deaf,1,0,1004
pat,bald,1,0,30
pat,bald,1,0,287
pat,bald,1,0,318
pat,bald,1,0,391
pat,bald,1,0,464
pat,bald,1,0,670
pat,bald,1,0,763
pat,bald,1,0,1029
pat,bald,1,0,444
pat,bald,1,0,453
pat,bald,1,0,478
pat,bald,1,0,571
pat,bald,1,0,822
pat,bald,1,0,847
pat,bald,1,0,915
pat,Pat,1,0,30
pat,Pat,1,0,287
pat,Pat,1,1,287
pat,Pat,1,2,287
pat,Pat,1,0,317
pat,Pat,1,0,391
pat,Pat,1,0,393
pat,Pat,1,0,444
pat,Pat,1,0,453
pat,Pat,1,0,478
pat,Pat,1,0,499
pat,Pat,1,0,519
pat,Pat,1,0,571
pat,Pat,1,1,571
pat,Pat,1,0,670
pat,Pat,1,1,670
pat,Pat,1,0,671
pat,Pat,1,0,718
pat,Pat,1,0,720
pat,Pat,1,0,759
pat,Pat,1,0,822
pat,Pat,1,1,823
pat,Pat,1,0,847
pat,Pat,1,2,847
pat,Pat,1,1,848
pat,Pat,1,2,848
pat,Pat,1,0,857
pat,Pat,1,1,864
pat,Pat,1,1,895
pat,Pat,1,0,911
pat,Pat,1,0,912
pat,Pat,1,0,915
pat,Pat,1,1,915
pat,Pat,1,0,916
pat,Pat,1,0,994
pat,Pat,1,0,1004
pat,Pat,1,0,1029
pat,Pat,1,1,1029
pat,Pat,1,2,1029
pat,Pat,1,0,1130
pat,Pat,1,0,1165
pat,Pat,1,0,1283
pat,Pat,2,1,30
pat,Pat,2,1,822
pat,Pat,2,0,823
pat,Pat,2,1,847
pat,Pat,2,0,848
pat,Pat,2,0,864
pat,Pat,2,0,895
pat,Pat,2,0,902
dedalus,moon,1,0,31
dedalus,moon,1,0,639
dedalus,moon,1,0,852
dedalus,moon,1,0,853
dedalus,moon,1,0,855
dedalus,moon,1,0,956
dedalus,moon,1,0,1012
dedalus,moon,1,1,1012
dedalus,moon,1,0,264
dedalus,moon,1,1,264
dedalus,night,1,0,31
dedalus,night,1,0,139
dedalus,night,1,0,466
dedalus,night,1,0,476
dedalus,night,1,0,611
dedalus,night,1,0,623
dedalus,night,1,0,725
dedalus,night,1,0,779
dedalus,night,1,1,779
dedalus,night,1,0,785
dedalus,night,1,0,787
dedalus,night,1,0,791
dedalus,night,1,0,845
dedalus,night,1,0,855
dedalus,night,1,0,1254
dedalus,night,1,0,554
dedalus,night,1,0,576
dedalus,night,1,0,1050
dedalus,far,1,0,31
dedalus,far,1,1,31
dedalus,far,1,0,59
dedalus,far,1,0,112
dedalus,far,1,0,113
dedalus,far,1,0,273
dedalus,far,1,0,302
dedalus,far,1,0,338
dedalus,far,1,0,455
dedalus,far,1,0,621
dedalus,far,1,0,622
dedalus,far,1,0,723
dedalus,far,1,0,855
dedalus,far,1,0,937
dedalus,far,1,0,1008
dedalus,far,1,0,1044
dedalus,far,1,0,1046
dedalus,far,1,0,1269
dedalus,far,1,0,1185
dedalus,far,1,1,1185
dedalus,far,1,2,1185
dedalus,far,1,3,1185
bloom,sad,1,0,32
bloom,sad,1,0,54
bloom,sad,1,0,80
bloom,sad,1,0,81
bloom,sad,1,0,82
bloom,sad,1,0,84
bloom,sad,1,0,284
bloom,sad,1,0,893
bloom,sad,1,1,893
bloom,sad,1,2,893
bloom,sad,1,0,894
bloom,sad,1,0,904
bloom,sad,1,0,1078
bloom,sad,1,0,1121
bloom,sad,1,0,83
bloom,lone,1,0,32
bloom,lone,1,0,54
bloom,lone,1,0,733
bloom,lone,1,0,738
bloom,lone,1,0,742
bloom,lone,1,0,894
bloom,lone,1,0,935
bloom,lone,1,0,955
bloom,lone,1,0,956
bloom,lone,1,0,1021
bloom,lone,1,0,1136
bloom,lone,1,0,1164
bloom,lone,1,0,1198
bloom,lone,1,0,1220
bloom,lone,1,0,1221
bloom,lone,1,0,1254
bloom,lone,1,0,1273
lydlid,listen,1,0,132
lydlid,listen,1,0,266
lydlid,listen,1,0,668
lydlid,listen,1,0,786
lydlid,listen,1,0,798
lydlid,listen,1,0,835
lydlid,listen,1,0,839
lydlid,listen,1,0,937
lydlid,listen,1,0,1028
lydlid,listen,1,1,1028
lydlid,listen,1,0,1029
lydlid,listen,1,0,1038
lydlid,listen,1,0,1044
lydlid,listen,1,0,1059
lydlid,listen,1,0,1072
lydlid,listen,1,0,1085
lydlid,listen,1,0,33
lydlid,listen,1,0,925
lydlid,listen,1,2,1028
lydlid,wind,1,0,34
lydlid,wind,1,0,55
lydlid,wind,1,0,341
lydlid,wind,1,0,454
lydlid,wind,1,0,591
lydlid,wind,1,0,592
